ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,31573,SYSTEM1.TXT,0.07436,0.23632,0.11313,4

ROUGE-L+StopWordRemoval,31573,SYSTEM1.TXT,0.12532,0.34394,0.18370,4

ROUGE-SU4+StopWordRemoval,31573,SYSTEM1.TXT,0.09537,0.30973,0.14583,4

ROUGE-1+StopWordRemoval,30922,SYSTEM1.TXT,0.19566,0.50079,0.28138,3

ROUGE-2+StopWordRemoval,30922,SYSTEM1.TXT,0.07886,0.18984,0.11143,3

ROUGE-L+StopWordRemoval,30922,SYSTEM1.TXT,0.18509,0.36125,0.24477,3

ROUGE-SU4+StopWordRemoval,30922,SYSTEM1.TXT,0.10776,0.25072,0.15073,3

ROUGE-1+StopWordRemoval,30924,SYSTEM1.TXT,0.29003,0.37214,0.32599,3

ROUGE-2+StopWordRemoval,30924,SYSTEM1.TXT,0.05457,0.08608,0.06679,3

ROUGE-L+StopWordRemoval,30924,SYSTEM1.TXT,0.18888,0.22403,0.20496,3

ROUGE-SU4+StopWordRemoval,30924,SYSTEM1.TXT,0.12082,0.16635,0.13998,3

ROUGE-1+StopWordRemoval,32548,SYSTEM1.TXT,0.19873,0.45899,0.27736,3

ROUGE-2+StopWordRemoval,32548,SYSTEM1.TXT,0.04684,0.11345,0.06631,3

ROUGE-L+StopWordRemoval,32548,SYSTEM1.TXT,0.20127,0.33333,0.25099,3

ROUGE-SU4+StopWordRemoval,32548,SYSTEM1.TXT,0.09513,0.20088,0.12911,3

ROUGE-1+StopWordRemoval,31336,SYSTEM1.TXT,0.28197,0.41474,0.33571,4

ROUGE-2+StopWordRemoval,31336,SYSTEM1.TXT,0.09161,0.13253,0.10833,4

ROUGE-L+StopWordRemoval,31336,SYSTEM1.TXT,0.22251,0.28084,0.24830,4

ROUGE-SU4+StopWordRemoval,31336,SYSTEM1.TXT,0.16552,0.19500,0.17905,4

ROUGE-1+StopWordRemoval,31699,SYSTEM1.TXT,0.30097,0.36118,0.32834,3

ROUGE-2+StopWordRemoval,31699,SYSTEM1.TXT,0.07117,0.08853,0.07890,3

ROUGE-L+StopWordRemoval,31699,SYSTEM1.TXT,0.23635,0.21630,0.22588,3

ROUGE-SU4+StopWordRemoval,31699,SYSTEM1.TXT,0.13683,0.16831,0.15095,3

ROUGE-1+StopWordRemoval,30800,SYSTEM1.TXT,0.12469,0.49955,0.19957,3

ROUGE-2+StopWordRemoval,30800,SYSTEM1.TXT,0.04248,0.14734,0.06594,3

ROUGE-L+StopWordRemoval,30800,SYSTEM1.TXT,0.12382,0.32704,0.17963,3

ROUGE-SU4+StopWordRemoval,30800,SYSTEM1.TXT,0.07623,0.23658,0.11530,3

ROUGE-1+StopWordRemoval,30920,SYSTEM1.TXT,0.20166,0.48782,0.28535,3

ROUGE-2+StopWordRemoval,30920,SYSTEM1.TXT,0.09601,0.19759,0.12923,3

ROUGE-L+StopWordRemoval,30920,SYSTEM1.TXT,0.12093,0.36983,0.18226,3

ROUGE-SU4+StopWordRemoval,30920,SYSTEM1.TXT,0.12991,0.24410,0.16957,3

ROUGE-1+StopWordRemoval,30904,SYSTEM1.TXT,0.28042,0.24902,0.26379,3

ROUGE-2+StopWordRemoval,30904,SYSTEM1.TXT,0.03841,0.06720,0.04888,3

ROUGE-L+StopWordRemoval,30904,SYSTEM1.TXT,0.22982,0.16268,0.19051,3

ROUGE-SU4+StopWordRemoval,30904,SYSTEM1.TXT,0.13505,0.11301,0.12305,3

ROUGE-1+StopWordRemoval,30907,SYSTEM1.TXT,0.18274,0.36578,0.24372,3

ROUGE-2+StopWordRemoval,30907,SYSTEM1.TXT,0.03914,0.07131,0.05054,3

